curriculum_id,entrance_year,course_id,course_category,course_name,course_year,credit_required,credit_elective,course_summary,course_keyword
17,2019,SIC 201,武蔵野BASIS,情報技法発展Ａ,2,0,1,"【概要】
情報技法基礎で学んだ情報分析技法を発展させ，ビジネスインテリジェンスと呼ばれる，データを起点とした意思決定のためのプロセス/手法/ツールを，リアルなデータや問題解決に取り組みながら学ぶ．近年，多くの企業では情報の蓄積・共有化が進み，これらのデータを活用して迅速な意思決定や問題解決を行うビジネスインテリジェンスと呼ばれる能力は，企業の一部の人ではなく，すべての人々に求められる能力となってきている．本科目では，BIツールと呼ばれる，膨大なデータをリアルタイムに可視化するツールを活用し，データを多角的に可視化することを通じて，データの本質を見出し，迅速な問題発見や意思決定を行うための技法を身につける．具体的には，ある店舗の売上高を向上させるための施策を情報分析に基づいて提案を行う．このために，企業の売上データに加え，気象データのようなオープンデータ，自ら収集した競合店舗データなど，多彩なデータソースや技法を駆使して，実際の店舗の課題の発見，要因の分析，売り上げや顧客数増加のための施策など，一連の問題解決プロセスを回し，実際の店舗に対して具体的な提案のプレゼンテーションを行う．これらを通じて，実社会に適用できるような実践的な問題発見及び解決能力，提案力を身につける．
授業方法としては，情報分析サイクルを何度も回し，繰り返し学修によって操作スキルの定着と分析能力の向上を目指す．また個人毎に課題に取り組むが，グループディスカッションを重視し，学生相互の学び合いを通じて分析力を高め合う．

【達成目標】
1. 組織で実践的に活用されているBIツールを活用した情報可視化スキルを身につける
2. 可視化された情報を読み取る力(データ解釈力)，課題発見や仮説立案力および検証力を身につける
3. 情報分析サイクルを繰り返し回し，データに基づく説得力のある問題解決および提案ができる能力を身につける

※本科目では，「情報技法基礎」の履修を前提に講義と演習を進めます．
※本科目は，武蔵野大学の副専攻「AI活用エキスパートコース」を構成する科目群の一つです．
コース全体を履修しなくても本科目を履修することができます．
コース認定に本科目の修得単位を利用できます．詳しくは以下のコース説明を参照してください．
https://www.musashino-u.ac.jp/guide/facility/MUSIC_center/submajor_aiexpert.html ",情報・技法・発展・A・データ・分析・活用
18,2019,SIC 204,武蔵野BASIS,プログラミング発展Ａ,2,0,1,"プログラミング基礎で学んだことをベースに，多くのプログラマに利用されているプログラミング言語であるPython言語の使い方について学ぶと同時に，プログラミングの基本的な考え方や必要になる知識について学ぶ．本授業では特に、確率的な事象のモデル化によるシミュレーションをコンピュータを用いた問題解決の手法として取り上げて使えるようにする。
授業の方法としては，授業の半分をオンデマンドコンテンツを用いて，先にオンデマンドコンテンツで学び，その後双方向型の授業で理解を深めるアクティブラーニング型の授業を行う．

※本科目では、「プログラミング基礎」の履修を前提に講義と演習を進めます。
※本科目は、武蔵野大学の副専攻「AI活用エキスパートコース」を構成する科目群の一つです。
コース全体を履修しなくても本科目を履修することができます。
コース認定に本科目の修得単位を利用できます。詳しくは以下のコース説明を参照してください。
https://www.musashino-u.ac.jp/guide/facility/MUSIC_center/submajor_aiexpert.html ",プログラミング・発展・A・授業・科目・コース・履修
19,2019,ENG 101,武蔵野BASIS,英語1Ａ,1,1,0,,
20,2019,ENG 102,武蔵野BASIS,英語1Ｂ,1,1,0,,
21,2019,ENG 103,武蔵野BASIS,英語1Ｃ,1,1,0,,
22,2019,ENG 104,武蔵野BASIS,英語1Ｄ,1,1,0,,
23,2019,ENG 201,武蔵野BASIS,英語2Ａ,2,1,0,,
24,2019,ENG 202,武蔵野BASIS,英語2Ｂ,2,1,0,,
25,2019,ENG 203,武蔵野BASIS,英語2Ｃ,2,1,0,,
26,2019,ENG 204,武蔵野BASIS,英語2Ｄ,2,1,0,,
27,2019,ENG 301,武蔵野BASIS,英語3Ａ,3,1,0,"Who are animals? How are they different from us? Should we change our relationship to them? Scientists, writers, and artists are trying to give new answers to these questions. In this class, we will explore both scientific topics, and more philosophical or ethical questions related to animals, animal rights and the relation between humans and animals. For all these topics, the materials used in the class will be of two kinds: (1) popular scientific news, and (2) works of fiction, including movies.
Each class will begin with a reading, lecture, or visual recording. Materials will be prepared and delivered by your teacher. The class will then discuss, write about or complete worksheets on the materials. ",英語・A・WILL・TO・class・AND・the
28,2019,ENG 302,武蔵野BASIS,英語3Ｂ,3,1,0,"What happens when humans create something that is alive: clone, monster, dinosaur, or designer baby? Is it the beginning of a nightmare? Or the first step to a better life on earth? This is a class about life science and how science fiction can help to understand and question some of the new developments in this area. The class will explore both scientific topics such as cloning or genome editing, and ethical questions such as genetic discrimination or designer babies. For all these topics, the materials used in the class will be of two kinds: (1) popular scientific news, and (2) works of fiction, including movies.
Each class will begin with a reading, lecture, or visual recording. Materials will be prepared and delivered by your teacher. The class will then discuss, write about or complete worksheets on the materials. ",英語・3B・or・The・class・AND・WILL
29,2019,CHN 101,武蔵野BASIS,中国語１Ａ,1,0,1,,
30,2019,CHN 102,武蔵野BASIS,中国語１Ｂ,1,0,1,,
31,2019,CHN 103,武蔵野BASIS,中国語１Ｃ,1,0,1,,
32,2019,CHN 104,武蔵野BASIS,中国語１Ｄ,1,0,1,,
33,2019,CHN 201,武蔵野BASIS,中国語２Ａ,2,0,1,,
34,2019,CHN 202,武蔵野BASIS,中国語２Ｂ,2,0,1,,
35,2019,CHN 203,武蔵野BASIS,中国語２Ｃ,2,0,1,,
36,2019,CHN 204,武蔵野BASIS,中国語２Ｄ,2,0,1,,
37,2019,CHN 301,武蔵野BASIS,中国語３Ａ,3,0,1,"辞書さえあれば、ほぼあらゆる領域の中国語の文章を正確に読解し、深く理解できるようにする。
また音声面の訓練も取り入れる。 ",中国語・A・辞書・領域・文章・正確
38,2019,CHN 302,武蔵野BASIS,中国語３Ｂ,3,0,1,"辞書さえあれば、ほぼあらゆる領域の中国語の文章を正確に読解し、深く理解できるようにする。
また音声面の訓練も取り入れる。 ",中国語・3B・辞書・領域・文章・正確
39,2019,FRA 101,武蔵野BASIS,フランス語１Ａ,1,0,1,,
40,2019,FRA 102,武蔵野BASIS,フランス語１Ｂ,1,0,1,,
41,2019,FRA 103,武蔵野BASIS,フランス語１Ｃ,1,0,1,,
42,2019,FRA 104,武蔵野BASIS,フランス語１Ｄ,1,0,1,,
43,2019,FRA 201,武蔵野BASIS,フランス語２Ａ,2,0,1,,
44,2019,FRA 202,武蔵野BASIS,フランス語２Ｂ,2,0,1,,
45,2019,FRA 203,武蔵野BASIS,フランス語２Ｃ,2,0,1,,
46,2019,FRA 204,武蔵野BASIS,フランス語２Ｄ,2,0,1,,
47,2019,FRA 301,武蔵野BASIS,フランス語３Ａ,3,0,1,フランス語の中級段階へ本格的に入ってゆき、歴史・文化・時事などのテクストを読んでいきます。二年生までの内容を復習しつつ、仏検３級~準２級の合格を目指せるレベルまで到達したいです。授業は、Journal en fraçais facile等から取材した時事ニュース、Youtube番等の視聴覚テキスト（シャンソン、映画）を活用する予定ですが、受講者のリクエストも取り入れ、一人ひとりの学生の学びに対応していきます。,フランス語・A・時事・中級・段階・本格的
48,2019,FRA 302,武蔵野BASIS,フランス語３Ｂ,3,0,1,フランス語の中級段階へ本格的に入ってゆき、歴史・文化・時事などのテクストを読んでいきます。二年生までの内容を復習しつつ、仏検３級~準２級の合格を目指せるレベルまで到達したいです。授業は、Journal en fraçais facile等から取材した時事ニュース、Youtube番等の視聴覚テキスト（シャンソン、映画）を活用する予定ですが、受講者のリクエストも取り入れ、一人ひとりの学生の学びに対応していきます。,フランス語・3B・時事・中級・段階・本格的
49,2019,GER 101,武蔵野BASIS,ドイツ語１Ａ,1,0,1,,
50,2019,GER 102,武蔵野BASIS,ドイツ語１Ｂ,1,0,1,,
51,2019,GER 103,武蔵野BASIS,ドイツ語１Ｃ,1,0,1,,
52,2019,GER 104,武蔵野BASIS,ドイツ語１Ｄ,1,0,1,,
53,2019,GER 201,武蔵野BASIS,ドイツ語２Ａ,2,0,1,,
54,2019,GER 202,武蔵野BASIS,ドイツ語２Ｂ,2,0,1,,
55,2019,GER 203,武蔵野BASIS,ドイツ語２Ｃ,2,0,1,,
56,2019,GER 204,武蔵野BASIS,ドイツ語２Ｄ,2,0,1,,
57,2019,GER 301,武蔵野BASIS,ドイツ語３Ａ,3,0,1,"ドイツ語を学ぶことによって、ドイツ語圏の国々、さらにはヨーロッパ、異文化圏へのまなざしを習得できることを目標としている。
テキストやCD、映像資料を用いて、初級ドイツ語の復習及び中級ドイツ語文法を学びながら、ニュースや文学など様々なテキストが読めるような力を養っていく。 ",ドイツ語・A・テキスト・ドイツ語圏・国々・ヨーロッパ
58,2019,GER 302,武蔵野BASIS,ドイツ語３Ｂ,3,0,1,"ドイツ語を学ぶことによって、ドイツ語圏の国々、さらにはヨーロッパ、異文化圏へのまなざしを習得できることを目標としている。
テキストやCD、映像資料を用いて、初級ドイツ語の復習及び中級ドイツ語文法を学びながら、ニュースや文学など様々なテキストが読めるような力を養っていく。 ",ドイツ語・3B・テキスト・ドイツ語圏・国々・ヨーロッパ
59,2019,SPA 101,武蔵野BASIS,スペイン語１Ａ,1,0,1,,
60,2019,SPA 102,武蔵野BASIS,スペイン語１Ｂ,1,0,1,,
61,2019,SPA 103,武蔵野BASIS,スペイン語１Ｃ,1,0,1,,
62,2019,SPA 104,武蔵野BASIS,スペイン語１Ｄ,1,0,1,,
63,2019,SPA 201,武蔵野BASIS,スペイン語２Ａ,2,0,1,,
64,2019,SPA 202,武蔵野BASIS,スペイン語２Ｂ,2,0,1,,
65,2019,SPA 203,武蔵野BASIS,スペイン語２Ｃ,2,0,1,,
66,2019,SPA 204,武蔵野BASIS,スペイン語２Ｄ,2,0,1,,
67,2019,SPA 301,武蔵野BASIS,スペイン語３Ａ,3,0,1,これまで学んだスペイン語文法や会話表現を使って、より実践的なスペイン語の運用能力を身につける。日常会話表現やメールのやり取りの基礎を習得し、長めの文章読解や、リスニングの実践練習を積み重ねる。具体的には、DELEの問題に対応できる技能を習得することを目的とする。映像作品や視覚教材も視聴しながら、スペイン語圏の文化や社会に対する理解も深めていく。,スペイン語・A・会話・表現・実践・習得
68,2019,SPA 302,武蔵野BASIS,スペイン語３Ｂ,3,0,1,これまで学んだスペイン語文法や会話表現を使って、より実践的なスペイン語の運用能力を身につける。日常会話表現やメールのやり取りの基礎を習得し、長めの文章の読解や、リスニングの実践練習を積み重ねる。具体的には、DELEの問題に対応できる技能を習得することを目的とする。映像作品や視覚教材も視聴しながら、スペイン語圏の文化や社会に対する理解も深めていく。,スペイン語・3B・会話・表現・実践・習得
69,2019,KOR 101,武蔵野BASIS,韓国語１Ａ,1,0,1,,
70,2019,KOR 102,武蔵野BASIS,韓国語１Ｂ,1,0,1,,
71,2019,KOR 103,武蔵野BASIS,韓国語１Ｃ,1,0,1,,
72,2019,KOR 104,武蔵野BASIS,韓国語１Ｄ,1,0,1,,
73,2019,KOR 201,武蔵野BASIS,韓国語２Ａ,2,0,1,,
74,2019,KOR 202,武蔵野BASIS,韓国語２Ｂ,2,0,1,,
75,2019,KOR 203,武蔵野BASIS,韓国語２Ｃ,2,0,1,,
76,2019,KOR 204,武蔵野BASIS,韓国語２Ｄ,2,0,1,,
77,2019,KOR 301,武蔵野BASIS,韓国語３Ａ,3,0,1,"韓国の短編小説をテキストの言語的意味だけではなく、文化的コンテクストも含めて適切に翻訳する能力を身につける、韓国文学を通じて韓国社会・文化への理解を深める。
関連中級文型を習得し、該当文型を用いて読解、聴解、作文、会話ができる。 ",韓国語・A・韓国・文型・短編小説・テキスト・言語
78,2019,KOR 302,武蔵野BASIS,韓国語３Ｂ,3,0,1,"韓国の短編小説をテキストの言語的意味だけではなく、文化的コンテクストも含めて適切に翻訳する能力を身につける、韓国文学を通じて韓国社会・文化への理解を深める。
関連中級文型を習得し、該当文型を用いて読解、聴解、作文、会話ができる。 ",韓国語・3B・韓国・文型・短編小説・テキスト・言語
79,2019,AL 301,武蔵野BASIS,English for Studying Abroad 1,1,0,1,,
80,2019,AL 302,武蔵野BASIS,English for Studying Abroad 2,1,0,1,,
81,2019,AL 101,武蔵野BASIS,英語資格・検定試験対策A,1,0,1,,
82,2019,AL 102,武蔵野BASIS,英語資格・検定試験対策B,1,0,1,,
83,2019,JL 101,武蔵野BASIS,⽇本語リテラシー,1,1,0,"大学生として日本語で文章を書く際の基本を学びます。

★自分が（学科に関するテーマについて）疑問に感じたことを論理的に展開するために、書籍・資料を読み解き、引用し、まとめる力を身につける。
与えられた課題をこなす受動的な姿勢ではなく、能動的に「どうしたら説得力をもって伝えられるか」を考え、何度も推敲を重ねて仕上げる。

1. 日常的な文章の作法（メールの書きかた、敬語、文体等）
2. レポートの作法（文献の調べかた、構成の組み立てかた、書き方の定型、提出のしかた等）
3. 自学自習の作法（クリティカルシンキング・ロジカルシンキング、メディアリテラシー、自己採点、添削）
4. 学び合いの作法（レポートのピアチェック・アドバイス等） ",日本語・リテラシー・作法・文章・レポート・大学生
84,2019,SD 101,武蔵野BASIS,基礎セルフディベロップメント,1,6,0,"＜プロフィール＞
【永野】
様々な大学で哲学・倫理学を教えています。著書に『図解雑学サルトル』（ナツメ社）『哲学のモンダイ』（白澤社）他。専門は、20世紀フランスの哲学者サルトルです。サルトルは、人間を「世界と関係すること」そのものとして考えました。そして、せまい学問の世界に閉じこもることをせずに、様々な社会問題について発言し行動し続けたのです。答えを出すことではなく、様々な問題について考えていくことの楽しさと難しさを体験してほしいです。

【Oikonomides, Catherine】
Oikonomides Catherineと申します。
ギリシャ出身で、フランスの大学の数学科を卒業しました。
1997年から東京に住んでいます。専門は微分幾何学、葉層構造です。

【竹村】
一橋大学経済学研究科博士課程単位修得退学（経済史専攻）。専門はヨーロッパ政治・社会経済史。基礎セルフディベロップメントは初年度より担当。

【上田】
東京大学理学部化学科卒業。同大学大学院理学系研究科化学専攻修士・博士修了。理化学研究所、Massachusetts Institute of Technologyにて神経科学の研究に従事し、金沢医科大学において、腫瘍免疫および脂質の研究を展開した。化学、生物学、工学、医学分野で幅広い研究経験を有する。現在、東京大学にて、光遺伝学、生体内イメージングを軸にした、脂質の記憶に関する研究、および、がんの転移巣形成メカニズムの研究を遂行している。

【鳥井】
東京大学教養学部基礎科学科卒業。同大学院理学系研究科物理学専攻博士課程中退。博士（理学）。学習院大学理学部助手、マサチューセッツ工科大学博士研究員を経て、東京大学大学院総合文化研究科広域科学専攻教授。専門は原子物理学・量子光学。特にレーザー冷却を用いた量子縮退気体の研究。

【香坂】
東京都立大学人文学部史学科卒業。東京大学大学院総合文化研究科地域文化研究専攻修士課程修了〔修士（学術）〕、同大学院地域文化研究専攻博士後期課程単位取得退学および学位取得〔博士（学術）〕。スロヴァキア国立コメニウス大学哲学部スロヴァキア史学科博士課程留学経験あり。専門はスロヴァキアを中心とした中東欧地域の近現代史。現在、跡見学園女子大学他兼任講師。

＜授業概要＞
【永野】
この授業では、倫理学の基本的考えかたについて知ると同時に、さまざまな社会問題（特に、この社会でともに暮らすさまざまな少数者の人権にかかわる問題）についてともに考えます。グループワークもまじえて、マンガや映画なども題材に、かたくるしくない授業をめざしますが、考えながら授業に参加することを心がけてください。

【Oikonomides, Catherine】
この授業の目的は、高校で勉強した二次多項式の解の公式と２次関数のグラフの書き方を復習してから、三次多項式についていろいろ調べていくことです。複素数も少し使います。三次多項式のグラフの書き方と三次多項式に対する解の公式（Cardanoの公式）を紹介します。

【竹村】
授業はオンラインの講義と、オフラインのワークからなる。講義はZoomを用いたリアルタイム形式とするので、必ず時間になったらあらかじめ通知したミーティングルームに入室すること。他方でワークは決まった時間を設定しないが、概ね100分以内で片付く分量とする。また「経済」を専門としない学部・学科の学生もいるため、日常的なトピックスを取り上げ、われわれの身の回りにいかに「経済」の仕組みが内在しているかを確認、考察してもらう。さらによく出来たワークにはボーナス点を与える。

【上田】
人間は、約60兆個の細胞から成り立っていることを理解したのち、個々の細胞が集まり、記憶や免疫システムを始めとした高度な機能を如何に発揮しているのかを学ぶ。

【鳥井】
2019年5月にキログラムの定義が130年ぶりに改定され、マスメディアでも大きく取り上げられた。それまでのキログラム原器による「分かりやすい」定義から、ミクロの世界に登場する「プランク定数」による定義に改定された。なぜわざわざ分かりにくくしたのだろうか。単位の定義の変遷は、その時代の科学技術の進展に呼応している。長さ単位メートル、時間の単位秒の定義の変遷も振り返ることにより、今回のキログラムの定義の改定の意義を理解し、単位と現代社会のとの繋がりを理解する。

【香坂】
「国境」という場、そして国境を取り巻く人々や集団に注目しながら、20世紀から現在にかけての世界における国家と人々との関係を学びます。講義では、中東欧やその他の地域の事例を通じて、「分断の場」あるいは「交流の場」として立ち現れる国境の光景の背後にどのような政治的・経済的要因が存在するかを考えます。また、授業参加者によるグループ・ディスカッションを通じて、具体的な国境（分断の場⇔交流の場⇔意識されない場）の事例、あるいは国境を越える人々の移動が引き起こす出来事の意味に関して議論します。

＜到達目標＞
【永野】
①倫理学の様々な考え方について説明できる。②偏見や先入観にとらわれず思考できる。③創造的に思考できる。

【Oikonomides, Catherine】
二次と三次多項式のグラフを書くこと。
二次と三次多項式の解の公式を使って、実数の解と複素数の解を求めること。

【竹村】
基礎教養リベラルアーツの一環として、「経済」という学問分野の成り立ちを知るとともに、この観点からわれわれの現代社会を読み解く視座を養う。また大学での学びに必要とされる各種のアカデミック・スキルの修得、向上を目指す。

【上田】
私たちの体の中で実際に起きている高度な機能が、多数の細胞によってなされていることを理解すること。

【鳥井】
基本的な量である長さ、時間、質量の単位の成り立ちを学ぶことを通して、物理学の基本的な概念を学び、現代社会との関わりを理解できるようになること。

【香坂】
世界に様々な形をとって存在した／存在している国境、及び国境に関わる人々の事例を通じて、現在の国際政治や社会・経済状況に関する知識、さらには現在の世界における国家の意味に関する知識を得ることを目標とします。 ",基礎・セルフディベロップメント・研究・博士・授業・国境・専門
85,2019,SD 201,武蔵野BASIS,芸術のすすめ,2,0,2,"日本の古典芸能には、能・狂言（能楽）・歌舞伎・人形浄瑠璃文楽・組踊などがある。本授業では最初に日本の古典芸能を概観する。続いて、能・狂言について、以下の観点から詳しく学ぶ。
１　能・狂言は室町時代に芸術的な基礎を固めた演劇であり、歌舞劇（ミュージカル）・仮面劇という特徴を持っている。能・狂言の諸作品の講読と鑑賞を通じて、その美を理解する。
２　能・狂言が歌舞伎・人形浄瑠璃文楽などとに与えた影響を知り、総合的視野から日本の古典芸能を追究する。
３　古典芸能を文化財として継承していく意味を討論するなどして、自分自身の考えを深めていく。 ",芸術・すすめ・能・狂言・古典芸能・日本・歌舞伎
86,2019,SD 202,武蔵野BASIS,数学的ものの考え⽅,2,0,2,「平面幾何と数学のあゆみ」を全体のテーマとする。数学は非常に古い学問であるが近年非常に大きな発展をしている。歴史を振り返りながら数学の考え方がどのように整備されてきたかを概観する。予定している話題はほぼ次のものである。１．ピタゴラスの定理をめぐって：２．デカルト・フェルマー・パスカル　／メルセンヌ：３．ニュートンの万有引力の法則：４．複素数と方程式、三角関数と指数関数：５．ガウスの代数学の基本定理：６．曲面の表し方、曲面の幾何と曲率：７．リーマン球面・楕円曲線・リーマン面．これらの話題について講義、演習を交互に行いつつ 授業を進める。予習内容、復習内容の提出を求め、それに対して講義内で必要なフィードバックをおこなう。提出された内容により成績を評価する。,数学・考え方・内容・幾何・非常・話題
87,2019,SD 203,武蔵野BASIS,社会現象を分析する,2,0,2,社会現象を分析する主要な方法の一つは、社会調査の結果をもとに分析していく方法である。しかし、世の中にはいいかげんな社会調査や、いいかげんな分析をもとにした主張が蔓延している。そのようなウソを見抜くことは、これからの重要な教養的基礎になる。そこで、社会調査のウソについての問題点を理解し、正しい判断能力を身につけるようにする。さらに自力で、いいかげんな社会調査や、いいかげんな分析をもとにした主張を見抜けるようにする。,社会現象・分析・社会調査・いいかげん・主張・ウソ
88,2019,SD 204,武蔵野BASIS,環境学への展望,2,0,2,現代社会を取り巻く多くの環境に関わる問題は，一つの学術分野で整理することができないほど，広範囲に渡っている．本授業では，エネルギーや資源問題に注目し，現代社会が直面している環境問題を取り上げる．講義では，エネルギーをキーワードとした，幅広い関連分野の基礎科学を学ぶことで，環境やエネルギー問題を，科学技術的な視点から評価し，自らの考えを発信できるようになることを狙いとする．,環境・展望・問題・エネルギー・現代社会・学術分野
89,2019,SD 205,武蔵野BASIS,⼈間の⼼理を探る,2,0,2,"講義前半では，人間の行動と、その背景にある「こころ」の仕組みを科学的に解明するという心理学の基礎理論を概観する．後半では，心理学の応用分野を学び，日常生活と心理学の関連について学習する．そのことによって，心理学が現実社会でどのように活かされているかについて理解を深める．
学期を通して，心理学の面白さと幅広さを講義や実験を通して感じてもらうとともに，講義課題として行う事例問題に取り組む経験を通して，各人の専門科目の学習や卒業後の活動に応用できるような客観的思考能力，問題解決能力を養う． ",人間・心理・心理学・講義・応用・学習・前半
90,2019,SD 206,武蔵野BASIS,⽣命科学と⼈間,2,0,2,「生命科学の時代」といわれる現代に必要な生命科学の基礎を概説する。まず、生命とは何かについて、タンパク質に注目して解説する。次に、ウイルスがヒトに感染するしくみや、免疫やアレルギーについて説明する。さらに、さまざまな疾患の治療薬やワクチンを開発する方法、および、タンパク質をデザインして医療や産業に役立てる方法などについても概説する。近年、新たなウイルスが5-6年おきに出現しているため、このような生命科学の基礎を教養として身につけておくことは、文系・理系を問わず必要不可欠であろう。,生命科学・人間・必要・基礎・概説・タンパク質
91,2019,SD 207,武蔵野BASIS,市⺠の社会貢献,2,0,2,市民の社会貢献活動について、実例を挙げて学ぶ。事例に挙げるテーマは、貧困解消、平和維持、エコロジー、倫理的消費、国際的規範形成の予定である。本講義を通じて、市民の社会貢献活動に参加するために必要な価値観の形成を目指す。,市民・社会貢献・活動・形成・実例
92,2019,SD 208,武蔵野BASIS,市⺠⽣活と権利を考える,2,0,2,"われわれが常識だと思っているもの、あるいは直感的に捉えているものについて「科学」してみましょう。ここで言う「科学」するとは、法学・政治学・経済学・社会学・心理学・倫理学・哲学などの観点から、対象の構造と本質を分析することです。こうした分析によって、自分の生きる近（現）代の市民社会に対する“解像度”が、おそらく飛躍的に高まるはずです。
授業では下記のような７つのテーマを扱いますが、奇数回（第５限目）を事前学習を含めたオフラインでのワーク、偶数回（第６限目）をオンライン上の解説・講義に割り当てます。事前学習においては、予習時間をも合わせて、あらかじめ与えられた指示にしたがって各自がテーマに関する調査と考察を行い、500~1000字程度のレポートとして提出してもらいます。そしてオンライン上の講義においては、それらの中から優秀なものをサンプルとして紹介し、各テーマを読み解く際に必要な知識、思想、概念等を解説します。これを視聴したのち、自分に足りていなかったものを確認・補充しつつ、今後の研究や生活活動に役立ててください。 ",市民・生活・権利・テーマ・科学・分析・事前・学習
93,2019,SD 209,武蔵野BASIS,現代メディアの探求,2,0,2,"現代社会にはさまざまなメディアが存在しています。わたしたちは日常の中で当然のようにメディアに接し、生活を送っていますが、そもそも、その「あたりまえ」はどのようにして獲得されてきたものなのでしょうか。
この講義では、現代社会のメディア環境について多角的な視点を学ぶことを目標としています。その際、（1）それぞれのメディアがもっている歴史性、それをふまえたうえでの（2）現代メディアにおける諸問題に注目しながら講義を進めていきたいと考えています。
この講義が現代のメディア環境についてあらためて考え直す機会となることを期待します。 ",現代・メディア・探求・講義・現代社会・環境
94,2019,SD 210,武蔵野BASIS,社会情報と⽣活,2,0,2,データサイエンス分野における先端研究の動向を把握し、それらの社会環境への活用、および、生活環境における応用を実現することは重要である。本講義では、社会環境、生活環境を対象としたデータサイエンスの研究動向について、大局的、かつ、具体的な研究事例を取り上げ、それらの知識および技術の応用方法を示す。本講義では、特に、人工知能、知識ベース、データマイニング、サイバー・フィジカル・システム、ビジネスモデリングを中心として、社会環境、生活環境への応用のための概念と基礎知識を解説する。,社会・情報・生活・研究・社会環境・生活環境・応用・知識
95,2019,SD 211,武蔵野BASIS,⽇本の歴史,2,0,2,貞永式目の講読を通じて、鎌倉幕府における将軍・守護・御家人の制度的関係を理解し、中世武家社会の多様な諸相を学ぶ。院政期・平氏政権・鎌倉幕府の成立と源氏将軍時代を経て、執権政治へと展開する中世社会を理解するうえで、貞永式目条文と必要な追加法を読み解きながら、幕府政治の展開と朝廷・公家との関係、さらに御家人と中世の女性の権利や義務などを具体的な事例で解説する。,日本の歴史・貞永式目・鎌倉幕府・御家人・理解・中世
96,2019,SD 212,武蔵野BASIS,外国の歴史,2,0,2,ヨーロッパ史を中心に、現代世界に通じる様々な問題を論じる。但し単なる概説、通史的な説明にならないように、重要なトピックスを厳選して講義していく予定。過去の出来事を知るだけでなく、それらが「いま」の「われわれ」とどう密接に結びついているかをともに考察していきたい。,外国・歴史・ヨーロッパ史・中心・現代・世界・問題
