lec,overvier,keyword
データサイエンス基礎,"大量のデータが日々つくられている現状において、これを可視化し、分析し、シミュレーションにより未知の結果を予測し、そして業務に活かすことが、データサイエンスの役割である。本授業では、ヒトがデータに基づいて説明したり判断したりする活動を支援する道具として表計算ソフトを位置づけ、それを利活用するための基礎的な知識とスキルを実践的に学ぶ。知識として、データ処理関数、情報倫理やインターネットにおける自己防衛法をオンデマンド教材も併用して学ぶ。また、目的に応じてデータを収集・管理・編集し、基本的なデータ処理関数を適用し、可視化・図式化し、その結果を読み取り、そして第三者に客観的エビデンスを示すスキルを、Google SpreadsheetやSlideなどのツールを活用して学ぶ。学習方法としてはグループ協調学習を基軸に進め、協働・プレゼンスキルなども副次的に身につける。

※本科目は、武蔵野大学の副専攻「AI活用エキスパートコース」を構成する科目群の一つで、コース認定には本科目の単位取得が必要となる。なお、コース全体を履修しなくても本科目を履修することができる。詳しくは以下のコース説明を参照すること。
https://www.musashino-u.ac.jp/guide/facility/MUSIC_center/submajor_aiexpert.html ",データサイエンス・基礎・科目・コース・データ・スキル・結果
人工知能基礎,"本授業では、テキスト、画像、音声などを処理する人工知能の仕組みを理解し、活用方法を提案できる基礎的な知識とスキルを実践的に学ぶ。知識として、人工知能の基本的な能力や社会応用の可能性、情報社会の権利についてオンデマンド教材も併用して学ぶ。また、人工知能ツールやサービスに触れることを通して人工知能が社会生活に及ぼす影響について考察したり、他者の権利を尊重して社会発信したりするスキルを、Google ColaboratoryやDocumentなどのツールを活用して学ぶ。学習方法としてはグループ協調学習を基軸に進め、協働・プレゼンスキルなども副次的に身につける。

※本科目は、武蔵野大学の副専攻「AI活用エキスパートコース」を構成する科目群の一つで、コース認定には本科目の単位取得が必要となる。なお、コース全体を履修しなくても本科目を履修することができる。詳しくは以下のコース説明を参照すること。
https://www.musashino-u.ac.jp/guide/facility/MUSIC_center/submajor_aiexpert.html ",人工知能・基礎・科目・コース・活用・スキル
メディアリテラシー,"●授業の背景とねらい：
メディアの発展によって情報の伝達スピードや方法が変化し，わたしたちの生活は便利になる一方で，様々な課題も発生している．そんななか，メディアの利用に関する知識や考え方は，自己防衛だけでなくより良い生活のためにますます重要となっている．
そこで，本科目では，ゲームやwebサイトといったメディアを使ったプロダクトやサービスの作成に取り組みながら，過去・現在のメディアとリテラシーに関する事例や知見だけでなく，AIと倫理など今後の社会に求められる最先端の知見を学ぶ．具体的には，ライブ型授業での解説とグループ活動，オンデマンド型授業をとおして，変化し続ける情報社会において適切にメディアを使うために必要なリテラシーとはどのようなものであるかを考えるとともに，学んだことを授業後の生活に活用することを目指す．

●授業に関連するキーワード：メデイア論，コミュニケーション，認知バイアス，レジリエンス，非認知能力，フィルタバブル，エコーチェンバー，ソーシャルキャピタル，SNS，AI倫理，クリティカル・シンキング，カスタマージャーニーマップ，情報設計，デザイン思考，プロトタイピング

●注意：
※本科目は、武蔵野大学の副専攻「AI活用エキスパートコース」を構成する科目群の一つですが，コース認定に本科目の修得単位は利用できません．
コースを構成する他の科目を補う内容ですので，コース認定を目指す方は積極的に履修してください．
また，コース全体を履修しなくても本科目を履修することができます．
詳しくは以下のコース説明を参照してください．
https://www.musashino-u.ac.jp/guide/facility/MUSIC_center/submajor_aiexpert.html ",メディア・リテラシー・コース・授業・メディア・科目・情報
情報技法基礎,"【概要】
「データサイエンス基礎」「人工知能基礎」で学習する知識や手法の応用として、ビジネスインテリジェンス(企業など実社会での情報分析と活用)につながる、本格的な情報活用の技法を学ぶ。今日の社会においては、活動の方向性を定めたり経営的な判断を行うために、膨大な実データを分析し、それにもとづいて意思決定が行われている。新しいサービスや商品を実現するには、分析結果に基づいて企画を行い、関係者への説明や説得をしていく必要がある。
この授業では、データ分析からアイデア創出、プレゼン資料作成までの一連の活動に必要な、情報の分析技法(データ思考)、情報分析からのアイデア創出技法(アイデア思考)、アイデアから論理的な提案作成技法(論理思考)を学ぶ。実在する企業のデータを利用し、本格的でリアリティのある情報分析と提案作成に取り組む。
【具体的な内容】
現実の文房具専門店の数万件の年間売り上げデータについて、グラフを活用して概要を理解し、クロス集計によってデータの分類・比較をすることで傾向やニーズを読み取る。与えられたテーマに必要な、インタビューやペルソナ作成から、提案アイデアを創出し、論理的な提案資料としてまとめてプレゼンするまで行う。ツールとして、実社会で広く使われている表計算ソフト(Excel)に含まれるグラフ作成機能やピボットテーブル機能、プレゼンテーションツール(PowerPoint)を利用する。
授業はグループ活動を基本とし、グループディスカッションを通じて、各自で行った分析やアイデアについての相互評価とノウハウ共有を繰り返すことで、各種スキルを実践的に身に付ける。
【達成目標】
1. 実社会で広く使われているExcel (グラフ作成・ピボットテーブル)を使った分析スキルを身に付ける
2. インタビューやペルソナを使って数値で定量化できない情報を根拠にしたアイデア創出手法を身に付ける
3. 事実データを根拠とした論理的な構造を持つ提案資料の作成スキルを身に付ける

※本科目では、「データサイエンス基礎」「人工知能基礎」の履修を前提に講義と演習を進めます。
※本科目は、武蔵野大学の副専攻「AI活用エキスパートコース」を構成する科目群の一つです。
コース全体を履修しなくても本科目を履修することができます。
コース認定には本科目の単位取得が必須です。詳しくは以下のコース説明を参照してください。
https://www.musashino-u.ac.jp/guide/facility/MUSIC_center/submajor_aiexpert.html ",情報・技法・基礎・分析・アイデア・作成・データ
プログラミング基礎,"現在PCやスマートフォンは生活に欠かせないものであり，コミュニケーション機能はもちろんのこと，ゲームなどのエンターテイメントや買い物までできるようになっている．このような機能を提供するソフトウェアやサービスはすべて「プログラム」で出来ている．このプログラムを動かしている仕組み，またプログラムを作る考え方は，コンピュータを仕事とする専門家だけでなく，それらを利用する多くの人にとっても有益な知識と考えられる．
本講義は，初めてプログラミングに触る人，またソフトウェアやサービスの仕組みを知りたい人に向けた基礎的なプログラミングの授業である．感覚的に操作することができる簡易ブロック型言語と，Minecraftのバーチャル世界を利用して，新たな作品を作成する．プログラムを作成する演習を通して，問題解決手法（問題の分解，パターンの発見，抽象化，手順化）および，目的のツールやサービスを制作するプログラミング能力を身に付ける．

※この科目は副専攻（AI活用エキスパートコース）の認定を受けるために必須の科目です．
※本科目は，武蔵野大学の副専攻「AI活用エキスパートコース」を構成する科目群の一つです．
コース全体を履修しなくても本科目を履修することができます．
コース認定には本科目の単位修得が必須です．詳しくは以下のコース説明を参照してください．
https://www.musashino-u.ac.jp/guide/facility/MUSIC_center/submajor_aiexpert.html ",プログラミング・基礎・科目・コース・プログラム・サービス
情報技法発展A,"【概要】
情報技法基礎で学んだ情報分析技法を発展させ，ビジネスインテリジェンスと呼ばれる，データを起点とした意思決定のためのプロセス/手法/ツールを，リアルなデータや問題解決に取り組みながら学ぶ．近年，多くの企業では情報の蓄積・共有化が進み，これらのデータを活用して迅速な意思決定や問題解決を行うビジネスインテリジェンスと呼ばれる能力は，企業の一部の人ではなく，すべての人々に求められる能力となってきている．本科目では，BIツールと呼ばれる，膨大なデータをリアルタイムに可視化するツールを活用し，データを多角的に可視化することを通じて，データの本質を見出し，迅速な問題発見や意思決定を行うための技法を身につける．具体的には，ある店舗の売上高を向上させるための施策を情報分析に基づいて提案を行う．このために，企業の売上データに加え，気象データのようなオープンデータ，自ら収集した競合店舗データなど，多彩なデータソースや技法を駆使して，実際の店舗の課題の発見，要因の分析，売り上げや顧客数増加のための施策など，一連の問題解決プロセスを回し，実際の店舗に対して具体的な提案のプレゼンテーションを行う．これらを通じて，実社会に適用できるような実践的な問題発見及び解決能力，提案力を身につける．
授業方法としては，情報分析サイクルを何度も回し，繰り返し学修によって操作スキルの定着と分析能力の向上を目指す．また個人毎に課題に取り組むが，グループディスカッションを重視し，学生相互の学び合いを通じて分析力を高め合う．

【達成目標】
1. 組織で実践的に活用されているBIツールを活用した情報可視化スキルを身につける
2. 可視化された情報を読み取る力(データ解釈力)，課題発見や仮説立案力および検証力を身につける
3. 情報分析サイクルを繰り返し回し，データに基づく説得力のある問題解決および提案ができる能力を身につける

※本科目では，「情報技法基礎」の履修を前提に講義と演習を進めます．
※本科目は，武蔵野大学の副専攻「AI活用エキスパートコース」を構成する科目群の一つです．
コース全体を履修しなくても本科目を履修することができます．
コース認定に本科目の修得単位を利用できます．詳しくは以下のコース説明を参照してください．
https://www.musashino-u.ac.jp/guide/facility/MUSIC_center/submajor_aiexpert.html ",情報・技法・発展・A・データ・分析・活用
プログラミング発展A,"プログラミング基礎で学んだことをベースに，多くのプログラマに利用されているプログラミング言語であるPython言語の使い方について学ぶと同時に，プログラミングの基本的な考え方や必要になる知識について学ぶ．本授業では特に、確率的な事象のモデル化によるシミュレーションをコンピュータを用いた問題解決の手法として取り上げて使えるようにする。
授業の方法としては，授業の半分をオンデマンドコンテンツを用いて，先にオンデマンドコンテンツで学び，その後双方向型の授業で理解を深めるアクティブラーニング型の授業を行う．

※本科目では、「プログラミング基礎」の履修を前提に講義と演習を進めます。
※本科目は、武蔵野大学の副専攻「AI活用エキスパートコース」を構成する科目群の一つです。
コース全体を履修しなくても本科目を履修することができます。
コース認定に本科目の修得単位を利用できます。詳しくは以下のコース説明を参照してください。
https://www.musashino-u.ac.jp/guide/facility/MUSIC_center/submajor_aiexpert.html ",プログラミング・発展・A・授業・科目・コース・履修
英語基礎A[Ac-1],"大学教養レベルの英語能力（読む・書く・聞く・話す）を身につける。
＊基礎英語AはHigher（中上級）、Middle（中級）、Lower（初中級）に分かれている。それぞれ使用する教科書が異なるので、自分のクラスを確かめてから教科書を注文すること。
このクラスはHigherの必修授業である。
必修として履修する授業のレベルは入学前及び入学時に受験するVELC Testの得点により予め指定される。

英語で授業が進められた場合どのくらいついていけるのか。自分の英語はどのくらいクラスメートに通じるのか。ペアワーク等どんどん英語を使うことをぜひ楽しみにして参加してください。 ",英語・基礎・A・Ac・−1・授業・レベル・Higher・中級
英語基礎A[Ac-2],"大学教養レベルの英語能力（読む・書く・聞く・話す）を身につける。

＊英語基礎Aは３レベル ［Higher（中上級）、Middle（中級）、Lower（初中級）］に分かれている。それぞれ使用する教科書が異なるので、自分のクラスを確かめてから教科書を注文すること。
このクラスはMiddleの必修授業である。
必修として履修する授業のレベルは入学前及び入学時に受験するVELC Testの得点により予め指定される。 ",英語・基礎・A・Ac・−2・レベル・MIDDLE・中級・教科書
英語基礎A[Ac-3],"大学教養レベルの英語能力（読む・書く・聞く・話す）を身につける。

＊英語基礎Aは３レベル ［Higher（中上級）、Middle（中級）、Lower（初中級）］に分かれている。それぞれ使用する教科書が異なるので、自分のクラスを確かめてから教科書を注文すること。
このクラスはMiddleの必修授業である。
必修として履修する授業のレベルは入学前及び入学時に受験するVELC Testの得点により予め指定される。 ",英語・基礎・A・Ac・−3・レベル・MIDDLE・中級・教科書
英語基礎A[Ac-4],"大学教養レベルの英語能力（読む・書く・聞く・話す）を身につける。

＊英語基礎Aは３レベル ［Higher（中上級）、Middle（中級）、Lower（初中級）］に分かれている。それぞれ使用する教科書が異なるので、自分のクラスを確かめてから教科書を注文すること。
このクラスはMiddleの必修授業である。
必修として履修する授業のレベルは入学前及び入学時に受験するVELC Testの得点により予め指定される。 ",英語・基礎・A・Ac・−4・レベル・MIDDLE・中級・教科書
英語基礎A[Ac-5],"大学教養レベルの英語能力（読む・書く・聞く・話す）を身につける。

＊英語基礎Aは３レベル ［Higher（中上級）、Middle（中級）、Lower（初中級）］に分かれている。それぞれ使用する教科書が異なるので、自分のクラスを確かめてから教科書を注文すること。
このクラスはMiddleの必修授業である。
必修として履修する授業のレベルは入学前及び入学時に受験するVELC Testの得点により予め指定される。

リーディングの教科書を使いながら、クリティカルリーディングを心がけ、リーディング以外の技能（リスニング、スピーキング、ライティング）に応用させながら自分の意見を発信して、英語スキルの向上を目指す。 ",英語・基礎・A・Ac・レベル・教科書・リーディング・MIDDLE
英語基礎A[Ac-6],"大学教養レベルの英語能力（読む・書く・聞く・話す）を身につける。

＊英語基礎Aは３レベル ［Higher（中上級）、Middle（中級）、Lower（初中級）］に分かれている。それぞれ使用する教科書が異なるので、自分のクラスを確かめてから教科書を注文すること。
このクラスはMiddleの必修授業である。
必修として履修する授業のレベルは入学前及び入学時に受験するVELC Testの得点により予め指定される。 ",英語・基礎・A・Ac・レベル・MIDDLE・中級・教科書
英語基礎A[Ac-7],"大学教養レベルの英語能力（読む、書く、聞く、話す）を身につける。

英語基礎は３レベル[Higher（中上級）、Middle（中級）、Lower（初中級）]に分かれている。それぞれ使用する教科書が異なるので、自分のクラスを確かめてから教科書を注文すること。
このクラスはLower（初中級）の必修授業である。
必修として履修する授業のレベルは入学前及び入学時に受験するVELC Test の得点により予め指定される。 ",英語・基礎・A・Ac・レベル・中級・Lower・教科書
英語基礎A[Re_a],大学教養レベルの英語能力（読む、書く、聞く、話す）を身につける ,英語・基礎・A・Re・a・大学・教養・レベル・能力
英語基礎A[Re_b],大学教養レベルの英語能力（読む・書く・聞く・話す）を身につける。 ,英語・基礎・A・Re・b・大学・教養・レベル・能力
英語基礎A[Re_c],"将来、国内外で役立つ英語の技能（読む、書く、聞く、話す）の向上のため、文法の丸暗記ではなく、実際に使いこなせる文法の習得を目指します。
オンデマンド型のオンライン授業ですが、音声と発音を重視し、声に出して何度も練習することを求めます。
毎週月曜日に授業動画と課題・小テストがGoogle Classroomの「授業」ページにアップされますから、動画を見る前に指定箇所を予習し、動画で説明を聞いて答えを確認。指定された課題・小テストをやって期限内に提出してください。
＊この授業は、必修または選択必修の英語1A未修得者のための再履修クラスです。
指定された教科書をよく確認し、必ず購入すること。 ",英語・基礎・A・Re・c・授業・動画・指定・文法
英語基礎B[Re],"大学教養レベルの英語能力（読む・書く・聞く・話す）を身につける。
授業はオンデマンドの動画配信で行われる。学生は、教科書に基づく動画を視聴した後、オンライン教材で復習をし、WORKBOOKの該当ページに取り組んで、指示された部分を提出する。
教科書は英語４技能をカバーする内容で、all English。教科書がターゲットとするレベルは、CEFRでＡ２～Ｂ１、ＴＯＥＩＣで300～500、英検で準2級～2級程度。
オンデマンド配信の授業という特性上、授業を行う上で、学習者の主体性が強く期待される。課題は毎回、締切厳守で提出しなければならない。 ",英語・基礎・B・Re・授業・教科書・レベル・on
英語基礎C[Ac-1],"大学教養レベルの英語能力（読む・書く・聞く・話す）を身につける。
＊基礎英語CはHigher（中上級）、Middle（中級）、Lower（初中級）に分かれている。それぞれ使用する教科書が異なるので、自分のクラスを確かめてから教科書を注文すること。
このクラスはHigherの必修授業である。
必修として履修する授業のレベルは入学前及び入学時に受験するVELC Testの得点により予め指定される。

より「英語らしい」英語で自分の思いがまとめられるよう語彙や表現を増やすと共に、前期に引き続き、人前で使う勇気と好奇心をもって授業に参加してください。 ",英語・基礎・C・Ac・−1・授業・レベル・Higher・中級
英語基礎C[Ac-2],"大学教養レベルの英語能力（読む・書く・聞く・話す）を身につける。

＊英語基礎Cは３レベル ［Higher（中上級）、Middle（中級）、Lower（初中級）］に分かれている。それぞれ使用する教科書が異なるので、自分のクラスを確かめてから教科書を注文すること。
このクラスはMiddleの必修授業である。
必修として履修する授業のレベルは入学前及び入学時に受験するVELC Testの得点により予め指定される。 ",英語・基礎・C・Ac・−2・レベル・MIDDLE・中級・教科書
英語基礎C[Ac-3],"大学教養レベルの英語能力（読む・書く・聞く・話す）を身につける。

＊英語基礎Cは３レベル ［Higher（中上級）、Middle（中級）、Lower（初中級）］に分かれている。それぞれ使用する教科書が異なるので、自分のクラスを確かめてから教科書を注文すること。
このクラスはMiddleの必修授業である。
必修として履修する授業のレベルは入学前及び入学時に受験するVELC Testの得点により予め指定される。 ",英語・基礎・C・Ac・−3・レベル・MIDDLE・中級・教科書
英語基礎C[Ac-4],"大学教養レベルの英語能力（読む・書く・聞く・話す）を身につける。

＊英語基礎Cは３レベル ［Higher（中上級）、Middle（中級）、Lower（初中級）］に分かれている。それぞれ使用する教科書が異なるので、自分のクラスを確かめてから教科書を注文すること。
このクラスはMiddleの必修授業である。
必修として履修する授業のレベルは入学前及び入学時に受験するVELC Testの得点により予め指定される。 ",英語・基礎・C・Ac・−4・レベル・MIDDLE・中級・教科書
英語基礎C[Ac-5],"大学教養レベルの英語能力（読む・書く・聞く・話す）を身につける。

＊英語基礎Cは３レベル ［Higher（中上級）、Middle（中級）、Lower（初中級）］に分かれている。それぞれ使用する教科書が異なるので、自分のクラスを確かめてから教科書を注文すること。
このクラスはMiddleの必修授業である。
必修として履修する授業のレベルは入学前及び入学時に受験するVELC Testの得点により予め指定される。

リーディングの教科書を使いながら、クリティカルリーディングを心がけ、リーディング以外の技能（リスニング、スピーキング、ライティング）に応用させながら自分の意見を発信して、英語スキルの向上を目指す。 ",英語・基礎・C・Ac・レベル・教科書・リーディング・MIDDLE
英語基礎C[Ac-6],"大学教養レベルの英語能力（読む・書く・聞く・話す）を身につける。

＊英語基礎Cは３レベル ［Higher（中上級）、Middle（中級）、Lower（初中級）］に分かれている。それぞれ使用する教科書が異なるので、自分のクラスを確かめてから教科書を注文すること。
このクラスはMiddleの必修授業である。
必修として履修する授業のレベルは入学前及び入学時に受験するVELC Testの得点により予め指定される。 ",英語・基礎・C・Ac・レベル・MIDDLE・中級・教科書
英語基礎C[Ac-7],"大学教養レベルの英語能力（読む、書く、聞く、話す）を身につける
※　英語基礎Cは３レベル[Higher（中上級）、Middle（中級）、Lower（初中級）]に分かれている。それぞれ使用する教科書が異なるので、自分のクラスを確かめてから教科書を注文すること。
このクラスはLower （初中級）の必修授業である。
必修として履修する授業のレベルは入学前及び入学時に受験するVELC Testの得点により予め指定される。 ",英語・基礎・C・Ac・レベル・中級・Lower・教科書
英語基礎C[Re_a],大学教養レベルの英語能力（読む、書く、聞く、話す）を身につける ,英語・基礎・C・Re・a・大学・教養・レベル・能力
英語基礎C[Re_b],大学教養レベルの英語能力（読む・書く・聞く・話す）を身につける。 ,英語・基礎・C・Re・b・大学・教養・レベル・能力
